point,throughput
2024-04-15 23:32:00,3898.0
2024-04-15 23:33:00,3917.5
2024-04-15 23:34:00,3993.0
2024-04-15 23:35:00,3991.5
2024-04-15 23:36:00,3915.5
2024-04-15 23:37:00,3897.0
2024-04-15 23:38:00,3743.0
2024-04-15 23:39:00,3646.5
2024-04-15 23:40:00,3700.0
2024-04-15 23:41:00,3670.0
2024-04-15 23:42:00,3500.0
2024-04-15 23:43:00,3472.0
2024-04-15 23:44:00,3487.0
2024-04-15 23:45:00,3395.0
2024-04-15 23:46:00,3354.0
2024-04-15 23:47:00,3292.0
2024-04-15 23:48:00,3265.5
2024-04-15 23:49:00,3215.0
2024-04-15 23:50:00,3189.0
2024-04-15 23:51:00,3334.0
2024-04-15 23:52:00,3438.5
2024-04-15 23:53:00,3412.5
2024-04-15 23:54:00,3355.0
2024-04-15 23:55:00,3333.5
2024-04-15 23:56:00,3430.5
2024-04-15 23:57:00,3540.5
2024-04-15 23:58:00,3600.0
2024-04-15 23:59:00,3619.5
2024-04-16 00:00:00,3660.5
2024-04-16 00:01:00,3743.0
2024-04-16 00:02:00,3684.5
2024-04-16 00:03:00,3836.0
2024-04-16 00:04:00,3845.5
2024-04-16 00:05:00,3620.0
2024-04-16 00:06:00,3626.0
2024-04-16 00:07:00,3688.0
2024-04-16 00:08:00,3712.5
2024-04-16 00:09:00,3679.5
2024-04-16 00:10:00,3564.5
2024-04-16 00:11:00,3404.0
2024-04-16 00:12:00,3322.0
2024-04-16 00:13:00,3356.0
2024-04-16 00:14:00,3360.5
2024-04-16 00:15:00,3328.0
2024-04-16 00:16:00,3369.5
2024-04-16 00:17:00,3254.0
2024-04-16 00:18:00,3118.5
2024-04-16 00:19:00,3109.5
2024-04-16 00:20:00,3146.0
2024-04-16 00:21:00,3159.5
2024-04-16 00:22:00,3095.5
2024-04-16 00:23:00,3002.0
2024-04-16 00:24:00,2941.0
2024-04-16 00:25:00,2936.0
2024-04-16 00:26:00,2887.0
2024-04-16 00:27:00,2825.0
2024-04-16 00:28:00,2754.5
2024-04-16 00:29:00,2698.5
2024-04-16 00:30:00,2670.5
2024-04-16 00:31:00,2638.0
2024-04-16 00:32:00,2692.0
2024-04-16 00:33:00,2758.5
2024-04-16 00:34:00,2734.0
2024-04-16 00:35:00,2694.5
2024-04-16 00:36:00,2762.5
2024-04-16 00:37:00,2799.5
2024-04-16 00:38:00,2747.5
2024-04-16 00:39:00,2763.5
2024-04-16 00:40:00,2846.0
2024-04-16 00:41:00,2875.5
2024-04-16 00:42:00,2813.5
2024-04-16 00:43:00,2772.0
2024-04-16 00:44:00,2748.5
2024-04-16 00:45:00,2778.0
2024-04-16 00:46:00,2727.5
2024-04-16 00:47:00,2641.0
2024-04-16 00:48:00,2636.0
2024-04-16 00:49:00,2615.0
2024-04-16 00:50:00,2542.0
2024-04-16 00:51:00,2398.5
2024-04-16 00:52:00,2311.5
2024-04-16 00:53:00,2323.5
2024-04-16 00:54:00,2432.0
2024-04-16 00:55:00,2483.0
2024-04-16 00:56:00,2444.5
2024-04-16 00:57:00,2488.0
2024-04-16 00:58:00,2500.5
2024-04-16 00:59:00,2445.5
2024-04-16 01:00:00,2402.0
2024-04-16 01:01:00,2388.5
2024-04-16 01:02:00,2412.5
2024-04-16 01:03:00,2452.5
2024-04-16 01:04:00,2445.5
2024-04-16 01:05:00,2373.5
2024-04-16 01:06:00,2398.0
2024-04-16 01:07:00,2547.5
2024-04-16 01:08:00,2623.0
2024-04-16 01:09:00,2535.5
2024-04-16 01:10:00,2420.5
2024-04-16 01:11:00,2408.0
2024-04-16 01:12:00,2486.0
2024-04-16 01:13:00,2541.0
2024-04-16 01:14:00,2506.5
2024-04-16 01:15:00,2488.0
2024-04-16 01:16:00,2453.5
2024-04-16 01:17:00,2346.0
2024-04-16 01:18:00,2292.5
2024-04-16 01:19:00,2321.5
2024-04-16 01:20:00,2338.5
2024-04-16 01:21:00,2319.0
2024-04-16 01:22:00,2261.5
2024-04-16 01:23:00,2208.5
2024-04-16 01:24:00,2153.5
2024-04-16 01:25:00,2104.5
2024-04-16 01:26:00,2141.5
2024-04-16 01:27:00,2202.0
2024-04-16 01:28:00,2246.0
2024-04-16 01:29:00,2239.0
2024-04-16 01:30:00,2231.5
2024-04-16 01:31:00,2249.5
2024-04-16 01:32:00,2250.5
2024-04-16 01:33:00,2284.0
2024-04-16 01:34:00,2295.5
2024-04-16 01:35:00,2232.5
2024-04-16 01:36:00,2264.0
2024-04-16 01:37:00,2254.0
2024-04-16 01:38:00,2160.0
2024-04-16 01:39:00,2158.5
2024-04-16 01:40:00,2147.0
2024-04-16 01:41:00,2129.0
2024-04-16 01:42:00,2183.5
2024-04-16 01:43:00,2199.0
2024-04-16 01:44:00,2166.5
2024-04-16 01:45:00,2169.0
2024-04-16 01:46:00,2161.5
2024-04-16 01:47:00,2159.0
2024-04-16 01:48:00,2192.5
2024-04-16 01:49:00,2166.5
2024-04-16 01:50:00,2205.0
2024-04-16 01:51:00,2283.0
2024-04-16 01:52:00,2207.5
2024-04-16 01:53:00,2148.5
2024-04-16 01:54:00,2124.5
2024-04-16 01:55:00,2139.5
2024-04-16 01:56:00,2223.0
2024-04-16 01:57:00,2218.5
2024-04-16 01:58:00,2173.0
2024-04-16 01:59:00,2167.5
2024-04-16 02:00:00,2087.5
2024-04-16 02:01:00,2024.5
2024-04-16 02:02:00,2019.5
2024-04-16 02:03:00,2036.0
2024-04-16 02:04:00,2081.5
2024-04-16 02:05:00,2079.0
2024-04-16 02:06:00,2045.5
2024-04-16 02:07:00,1994.0
2024-04-16 02:08:00,1969.0
2024-04-16 02:09:00,1993.0
2024-04-16 02:10:00,2040.5
2024-04-16 02:11:00,2059.0
2024-04-16 02:12:00,2022.5
2024-04-16 02:13:00,2042.5
2024-04-16 02:14:00,2061.5
2024-04-16 02:15:00,2033.5
2024-04-16 02:16:00,1988.0
2024-04-16 02:17:00,1943.5
2024-04-16 02:18:00,1958.5
2024-04-16 02:19:00,1982.5
2024-04-16 02:20:00,1925.0
2024-04-16 02:21:00,1854.5
2024-04-16 02:22:00,1829.0
2024-04-16 02:23:00,1792.5
2024-04-16 02:24:00,1783.0
2024-04-16 02:25:00,1791.0
2024-04-16 02:26:00,1779.5
2024-04-16 02:27:00,1788.5
2024-04-16 02:28:00,1825.0
2024-04-16 02:29:00,1868.0
2024-04-16 02:30:00,1881.5
2024-04-16 02:31:00,1884.5
2024-04-16 02:32:00,1871.5
2024-04-16 02:33:00,1851.5
2024-04-16 02:34:00,1855.5
2024-04-16 02:35:00,1907.0
2024-04-16 02:36:00,1906.0
2024-04-16 02:37:00,1832.5
2024-04-16 02:38:00,1771.5
2024-04-16 02:39:00,1756.0
2024-04-16 02:40:00,1778.5
2024-04-16 02:41:00,1799.5
2024-04-16 02:42:00,1825.5
2024-04-16 02:43:00,1848.0
2024-04-16 02:44:00,1852.5
2024-04-16 02:45:00,1873.0
2024-04-16 02:46:00,1896.0
2024-04-16 02:47:00,1890.0
2024-04-16 02:48:00,1899.5
2024-04-16 02:49:00,1880.0
2024-04-16 02:50:00,1785.5
2024-04-16 02:51:00,1805.5
2024-04-16 02:52:00,1875.5
2024-04-16 02:53:00,1842.5
2024-04-16 02:54:00,1815.0
2024-04-16 02:55:00,1824.0
2024-04-16 02:56:00,1873.0
2024-04-16 02:57:00,1912.5
2024-04-16 02:58:00,1928.0
2024-04-16 02:59:00,1902.5
2024-04-16 03:00:00,1883.5
2024-04-16 03:01:00,1895.0
2024-04-16 03:02:00,1901.0
2024-04-16 03:03:00,1913.0
2024-04-16 03:04:00,1905.0
2024-04-16 03:05:00,1875.0
2024-04-16 03:06:00,1850.5
2024-04-16 03:07:00,1852.0
2024-04-16 03:08:00,1893.0
2024-04-16 03:09:00,1900.5
2024-04-16 03:10:00,1886.5
2024-04-16 03:11:00,1878.5
2024-04-16 03:12:00,1880.5
2024-04-16 03:13:00,1882.5
2024-04-16 03:14:00,1889.0
2024-04-16 03:15:00,1881.5
2024-04-16 03:16:00,1834.5
2024-04-16 03:17:00,1827.5
2024-04-16 03:18:00,1855.5
2024-04-16 03:19:00,1898.0
2024-04-16 03:20:00,1891.0
2024-04-16 03:21:00,1873.5
2024-04-16 03:22:00,1852.5
2024-04-16 03:23:00,1832.0
2024-04-16 03:24:00,1867.0
2024-04-16 03:25:00,1863.0
2024-04-16 03:26:00,1839.0
2024-04-16 03:27:00,1797.5
2024-04-16 03:28:00,1718.0
2024-04-16 03:29:00,1680.5
2024-04-16 03:30:00,1675.0
2024-04-16 03:31:00,1679.0
2024-04-16 03:32:00,1701.5
2024-04-16 03:33:00,1711.5
2024-04-16 03:34:00,1774.5
2024-04-16 03:35:00,1842.5
2024-04-16 03:36:00,1828.5
2024-04-16 03:37:00,1846.0
2024-04-16 03:38:00,1855.5
2024-04-16 03:39:00,1831.0
2024-04-16 03:40:00,1819.5
2024-04-16 03:41:00,1821.5
2024-04-16 03:42:00,1849.5
2024-04-16 03:43:00,1857.5
2024-04-16 03:44:00,1814.5
2024-04-16 03:45:00,1788.0
2024-04-16 03:46:00,1787.5
2024-04-16 03:47:00,1806.5
2024-04-16 03:48:00,1841.0
2024-04-16 03:49:00,1827.5
2024-04-16 03:50:00,1841.0
2024-04-16 03:51:00,1856.5
2024-04-16 03:52:00,1819.5
2024-04-16 03:53:00,1780.0
2024-04-16 03:54:00,1764.0
2024-04-16 03:55:00,1775.0
2024-04-16 03:56:00,1765.5
2024-04-16 03:57:00,1732.0
2024-04-16 03:58:00,1693.0
2024-04-16 03:59:00,1674.0
2024-04-16 04:00:00,1653.0
2024-04-16 04:01:00,1645.5
2024-04-16 04:02:00,1688.0
2024-04-16 04:03:00,1695.5
2024-04-16 04:04:00,1692.0
2024-04-16 04:05:00,1671.0
2024-04-16 04:06:00,1657.5
2024-04-16 04:07:00,1662.0
2024-04-16 04:08:00,1655.5
2024-04-16 04:09:00,1674.0
2024-04-16 04:10:00,1691.0
2024-04-16 04:11:00,1735.0
2024-04-16 04:12:00,1807.0
2024-04-16 04:13:00,1841.5
2024-04-16 04:14:00,1870.0
2024-04-16 04:15:00,1910.0
2024-04-16 04:16:00,1916.0
2024-04-16 04:17:00,1845.0
2024-04-16 04:18:00,1795.0
2024-04-16 04:19:00,1807.0
2024-04-16 04:20:00,1818.0
2024-04-16 04:21:00,1800.5
2024-04-16 04:22:00,1768.0
2024-04-16 04:23:00,1776.5
2024-04-16 04:24:00,1746.5
2024-04-16 04:25:00,1691.5
2024-04-16 04:26:00,1682.0
2024-04-16 04:27:00,1697.0
2024-04-16 04:28:00,1748.5
2024-04-16 04:29:00,1838.5
2024-04-16 04:30:00,1856.0
2024-04-16 04:31:00,1823.5
2024-04-16 04:32:00,1840.0
2024-04-16 04:33:00,1842.5
2024-04-16 04:34:00,1883.0
2024-04-16 04:35:00,1918.5
2024-04-16 04:36:00,1894.0
2024-04-16 04:37:00,1850.5
2024-04-16 04:38:00,1812.5
2024-04-16 04:39:00,1853.0
2024-04-16 04:40:00,1913.5
2024-04-16 04:41:00,1897.5
2024-04-16 04:42:00,1915.0
2024-04-16 04:43:00,1967.5
2024-04-16 04:44:00,1978.5
2024-04-16 04:45:00,1957.5
2024-04-16 04:46:00,1897.0
2024-04-16 04:47:00,1857.0
2024-04-16 04:48:00,1828.5
2024-04-16 04:49:00,1842.5
2024-04-16 04:50:00,1899.5
2024-04-16 04:51:00,1874.5
2024-04-16 04:52:00,1840.0
2024-04-16 04:53:00,1903.0
2024-04-16 04:54:00,1917.0
2024-04-16 04:55:00,1889.0
2024-04-16 04:56:00,1863.0
2024-04-16 04:57:00,1823.0
2024-04-16 04:58:00,1810.0
2024-04-16 04:59:00,1816.0
2024-04-16 05:00:00,1817.5
2024-04-16 05:01:00,1794.0
2024-04-16 05:02:00,1816.5
2024-04-16 05:03:00,1860.5
2024-04-16 05:04:00,1934.0
2024-04-16 05:05:00,1985.5
2024-04-16 05:06:00,1909.5
2024-04-16 05:07:00,1862.0
2024-04-16 05:08:00,1858.5
2024-04-16 05:09:00,1834.0
2024-04-16 05:10:00,1827.5
2024-04-16 05:11:00,1849.0
2024-04-16 05:12:00,1831.5
2024-04-16 05:13:00,1816.0
2024-04-16 05:14:00,1839.0
2024-04-16 05:15:00,1859.0
2024-04-16 05:16:00,1840.0
2024-04-16 05:17:00,1849.5
2024-04-16 05:18:00,1930.0
2024-04-16 05:19:00,2025.5
2024-04-16 05:20:00,2043.0
2024-04-16 05:21:00,2007.0
2024-04-16 05:22:00,1987.5
2024-04-16 05:23:00,1925.5
2024-04-16 05:24:00,1954.5
2024-04-16 05:25:00,1960.5
2024-04-16 05:26:00,1931.5
2024-04-16 05:27:00,1915.5
2024-04-16 05:28:00,1879.0
2024-04-16 05:29:00,1926.0
2024-04-16 05:30:00,1906.0
2024-04-16 05:31:00,1927.5
2024-04-16 05:32:00,1939.5
2024-04-16 05:33:00,1922.5
2024-04-16 05:34:00,1938.0
2024-04-16 05:35:00,1912.5
2024-04-16 05:36:00,1944.0
2024-04-16 05:37:00,1963.0
2024-04-16 05:38:00,1925.0
2024-04-16 05:39:00,1902.0
2024-04-16 05:40:00,1909.5
2024-04-16 05:41:00,1916.5
2024-04-16 05:42:00,1958.5
2024-04-16 05:43:00,2014.5
2024-04-16 05:44:00,2053.0
2024-04-16 05:45:00,2047.5
2024-04-16 05:46:00,2069.5
2024-04-16 05:47:00,2098.5
2024-04-16 05:48:00,2066.0
2024-04-16 05:49:00,2002.0
2024-04-16 05:50:00,2053.0
2024-04-16 05:51:00,2188.0
2024-04-16 05:52:00,2277.0
2024-04-16 05:53:00,2341.0
2024-04-16 05:54:00,2288.0
2024-04-16 05:55:00,2220.5
2024-04-16 05:56:00,2173.5
2024-04-16 05:57:00,2139.0
2024-04-16 05:58:00,2132.0
2024-04-16 05:59:00,2160.0
2024-04-16 06:00:00,2218.5
2024-04-16 06:01:00,2203.0
2024-04-16 06:02:00,2102.0
2024-04-16 06:03:00,2062.0
2024-04-16 06:04:00,2110.5
2024-04-16 06:05:00,2082.0
2024-04-16 06:06:00,2038.5
2024-04-16 06:07:00,2060.0
2024-04-16 06:08:00,2088.0
2024-04-16 06:09:00,2114.0
2024-04-16 06:10:00,2146.0
2024-04-16 06:11:00,2123.0
2024-04-16 06:12:00,2063.5
2024-04-16 06:13:00,2018.5
2024-04-16 06:14:00,1989.5
2024-04-16 06:15:00,2071.0
2024-04-16 06:16:00,2171.5
2024-04-16 06:17:00,2226.0
2024-04-16 06:18:00,2230.0
2024-04-16 06:19:00,2210.5
2024-04-16 06:20:00,2276.5
2024-04-16 06:21:00,2323.5
2024-04-16 06:22:00,2257.0
2024-04-16 06:23:00,2230.0
2024-04-16 06:24:00,2298.0
2024-04-16 06:25:00,2306.5
2024-04-16 06:26:00,2279.5
2024-04-16 06:27:00,2314.0
2024-04-16 06:28:00,2313.5
2024-04-16 06:29:00,2262.0
2024-04-16 06:30:00,2344.0
2024-04-16 06:31:00,2394.5
2024-04-16 06:32:00,2385.5
2024-04-16 06:33:00,2420.0
2024-04-16 06:34:00,2417.5
2024-04-16 06:35:00,2459.0
2024-04-16 06:36:00,2510.0
2024-04-16 06:37:00,2444.5
2024-04-16 06:38:00,2296.0
2024-04-16 06:39:00,2237.0
2024-04-16 06:40:00,2263.5
2024-04-16 06:41:00,2296.0
2024-04-16 06:42:00,2378.0
2024-04-16 06:43:00,2370.5
2024-04-16 06:44:00,2251.0
2024-04-16 06:45:00,2229.5
2024-04-16 06:46:00,2235.0
2024-04-16 06:47:00,2213.0
2024-04-16 06:48:00,2270.0
2024-04-16 06:49:00,2467.0
2024-04-16 06:50:00,2599.5
2024-04-16 06:51:00,2514.0
2024-04-16 06:52:00,2512.0
2024-04-16 06:53:00,2539.0
2024-04-16 06:54:00,2433.0
2024-04-16 06:55:00,2405.0
2024-04-16 06:56:00,2386.5
2024-04-16 06:57:00,2367.0
2024-04-16 06:58:00,2357.0
2024-04-16 06:59:00,2377.5
2024-04-16 07:00:00,2455.0
2024-04-16 07:01:00,2497.5
2024-04-16 07:02:00,2578.0
2024-04-16 07:03:00,2621.0
2024-04-16 07:04:00,2545.0
2024-04-16 07:05:00,2499.5
2024-04-16 07:06:00,2538.0
2024-04-16 07:07:00,2569.5
2024-04-16 07:08:00,2560.0
2024-04-16 07:09:00,2463.0
2024-04-16 07:10:00,2455.0
